movieId_Old,title,genres,release_year,description,directors,country,duration,image,video_id,subscription_required,tags,check,url,movieId
1,Toy Story,"Adventure, Animation, Children, Comedy, Fantasy",1995,"A little boy named Andy loves to be in his room, playing with his toys, especially his doll named ""Woody"". But, what do the toys do when Andy is not with them, they come to life. Woody believes that his life (as a toy) is good. However, he must worry about Andy's family moving, and what Woody does not know is about Andy's birthday party. Woody does not realize that Andy's mother gave him an action figure known as Buzz Lightyear, who does not believe that he is a toy, and quickly becomes Andy's new favorite toy. Woody, who is now consumed with jealousy, tries to get rid of Buzz. Then, both Woody and Buzz are now lost. They must find a way to get back to Andy before he moves without them, but they will have to pass through a ruthless toy killer, Sid Phillips.",John Lasseter,United States,81,movie_images/Movie1 Toy Story.jpg,v-PjgYDrg70,1,new movies,TRUE,https://www.youtube.com/watch?v=v-PjgYDrg70,1
2,Jumanji,"Adventure, Children, Fantasy",1995,"Jumanji, one of the most unique--and dangerous--board games ever, falls into the hands of the curious teen, Alan Parrish, in 1969. Mysterious and magical, the game strands the unsuspecting boy in the lush, savage forests of a mythical realm. Nearly three decades later, the game releases him before the awed eyes of the young orphaned siblings, Judy and Peter Shepherd. Now, the wild and incessant beat of the jungle's tribal drums is calling for the now-adult Alan and the other hesitant players, as the one who rolls the dice must never leave undone what the roll has started. Has anyone ever escaped from the game and Jumanji's formidable foes?",Joe Johnston,United States,104,movie_images/Movie2 Jumanji.jpg,2QKg5SZ_35I,0,most popular,TRUE,https://www.youtube.com/watch?v=2QKg5SZ_35I,2
3,Grumpier Old Men,"Comedy, Romance",1995,"Things don't seem to change much in Wabasha County: Max and John are still fighting after 35 years, Grandpa still drinks, smokes, and chases women , and nobody's been able to catch the fabled ""Catfish Hunter"", a gigantic catfish that actually smiles at fishermen who try to snare it. Six months ago John married the new girl in town (Ariel), and people begin to suspect that Max might be missing something similar in his life. The only joy Max claims is left in his life is fishing, but that might change with the new owner of the bait shop.",Howard Deutch,United States,101,movie_images/Movie3 Grumpier Old Men.jpg,1lMmYysiB9A,0,most popular,TRUE,https://www.youtube.com/watch?v=1lMmYysiB9A,3
4,Waiting to Exhale,"Comedy, Drama, Romance",1995,"This story based on the best selling novel by Terry McMillan follows the lives of four African-American women as they try to deal with their very lives. Friendship becomes the strongest bond between these women as men, careers, and families take them in different directions. Often light-hearted this movie speaks about some of the problems and struggles the modern women face in today's world.",Forest Whitaker,United States,124,movie_images/Movie4 Waiting to Exhale.jpg,t5iE3Wt2cJs,0,most popular,TRUE,https://www.youtube.com/watch?v=t5iE3Wt2cJs,4
5,Father of the Bride Part II,Comedy,1995,"In this sequel to ""Father of the Bride"", George Banks must accept the reality of what his daughter's ascension from daughter to wife, and now to mother means when placed into perspective against his own stage of life. As the comfortable family unit starts to unravel in his mind, a rapid progression into mid-life crisis is in his future. His journey to regain his youth acts as a catalyst for a kind of ""rebirth"" of his attitude on life when he and his wife, Nina, find how their lives are about to change as well.",Charles Shyer,United States,106,movie_images/Movie5 Father of the Bride Part II.jpg,BbvnDlu_Zjc,0,most popular,TRUE,https://www.youtube.com/watch?v=BbvnDlu_Zjc,5
6,Heat,"Action, Crime, Thriller",1995,"Hunters and their prey--Neil and his professional criminal crew hunt to score big money targets (banks, vaults, armored cars) and are, in turn, hunted by Lt. Vincent Hanna and his team of cops in the Robbery/Homicide police division. A botched job puts Hanna onto their trail while they regroup and try to put together one last big 'retirement' score. Neil and Vincent are similar in many ways, including their troubled personal lives. At a crucial moment in his life, Neil disobeys the dictum taught to him long ago by his criminal mentor--'Never have anything in your life that you can't walk out on in thirty seconds flat, if you spot the heat coming around the corner'--as he falls in love. Thus the stage is set for the suspenseful ending....",Michael Mann,United States,170,movie_images/Movie6 Heat.jpg,2GfZl4kuVNI,0,most popular,TRUE,https://www.youtube.com/watch?v=2GfZl4kuVNI,6
7,Sabrina,"Comedy, Romance",1995,"While she was growing up, Sabrina Fairchild spent more time perched in a tree watching the Larrabee family than she ever did on solid ground. As the chauffeur's daughter on their lavish Long Island estate, Sabrina was invisible behind the branches, but she knew them all below - There is Maude Larrabee, the modern matriarch of the Larrabee Corporation; Linus Larrabee, the serious older son who expanded a successful family business into the world's largest communications company; and David, the handsome, fun-loving Larrabee, who was the center of Sabrina's world until she was shipped off to Paris. After two years on the staff of Vogue magazine, Sabrina has returned to the Larrabee estate but now she has blossomed into a beautiful and sophisticated woman. And she's standing in the way of a billion dollar deal.",Sydney Pollack,"Germany, United States",127,movie_images/Movie7 Sabrina.jpg,R2gbPxeNk2E,0,new movies,TRUE,https://www.youtube.com/watch?v=R2gbPxeNk2E,7
8,Tom and Huck,"Adventure, Children",1995,"Tom Sawyer is a mischievous young boy, growing up in a small US town in the mid-1800s. He finds a friend in Huckleberry Finn, a vagrant and outcast, and the two get up to all sorts of boyish adventures. While on one of these adventures they witness a murder, leaving Tom with a dilemma.",Peter Hewitt,United States,97,movie_images/Movie8 Tom and Huck.jpg,-C-xXZyX2zU,0,most popular,TRUE,https://www.youtube.com/watch?v=-C-xXZyX2zU,8
9,Sudden Death,Action,1995,"Darren McCord takes his two kids to a Pittsburgh Penguins National Hockey League play-off game, unknowing that the sports arena has been taken over by terrorists, who are holding the Vice President of the United States, as well as many other high-ranking officials hostage. Darren later becomes the only one who is aware of the situation. And, the stakes are raised when the terrorists announce that they will blow-up the building at the end of the game. Therefore, Darren must not only subdue the terrorists, but postpone the game and send it to overtime.",Peter Hyams,United States,111,movie_images/Movie9 Sudden Death.jpg,QPv_vNhcQlo,0,most popular,TRUE,https://www.youtube.com/watch?v=QPv_vNhcQlo,9
10,GoldenEye,"Action, Adventure, Thriller",1995,"When a deadly satellite weapon system falls into the wrong hands, only Agent James Bond 007 can save the world from certain disaster. Armed with his license to kill, Bond races to Russia in search of the stolen access codes for ""GoldenEye"", an awesome space weapon that can fire a devastating electromagnetic pulse toward Earth. But 007 is up against an enemy who anticipates his every move: a mastermind motivated by years of simmering hatred. Bond also squares off against Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon.",Martin Campbell,"United Kingdom, United States",130,movie_images/Movie10 GoldenEye.jpg,lcOqUE0u1LM,0,most popular,TRUE,https://www.youtube.com/watch?v=lcOqUE0u1LM,10
