movieId,title,genres
1,Toy Story,"Adventure, Animation, Children, Comedy, Fantasy"
2,Jumanji,"Adventure, Children, Fantasy"
3,Grumpier Old Men,"Comedy, Romance"
4,Waiting to Exhale,"Comedy, Drama, Romance"
5,Father of the Bride Part II,Comedy
6,Heat,"Action, Crime, Thriller"
7,Sabrina,"Comedy, Romance"
8,Tom and Huck,"Adventure, Children"
9,Sudden Death,Action
10,GoldenEye,"Action, Adventure, Thriller"
11,"American President, The","Comedy, Drama, Romance"
12,Balto,"Adventure, Animation, Children"
13,Nixon,Drama
14,Cutthroat Island,"Action, Adventure, Romance"
15,Casino,"Crime, Drama"
16,Sense and Sensibility,"Drama, Romance"
17,Four Rooms,Comedy
18,Money Train,"Action, Comedy, Crime, Drama, Thriller"
19,Get Shorty,"Comedy, Crime, Thriller"
20,Copycat,"Crime, Drama, Horror, Mystery, Thriller"
21,Assassins,"Action, Crime, Thriller"
22,Powder,"Drama, Sci-Fi"
23,Leaving Las Vegas,"Drama, Romance"
24,Othello,Drama
25,Now and Then,"Children, Drama"
26,Persuasion,"Drama, Romance"
27,City of Lost Children,"Adventure, Drama, Fantasy, Mystery, Sci-Fi"
28,Shanghai Triad ,"Crime, Drama"
29,Dangerous Minds,Drama
30,Twelve Monkeys (a.k.a. 12 Monkeys),"Mystery, Sci-Fi, Thriller"
31,Babe,"Children, Drama"
32,Carrington,"Drama, Romance"
33,Dead Man Walking,"Crime, Drama"
34,Across the Sea of Time,"Documentary, IMAX"
35,It Takes Two,"Children, Comedy"
36,Clueless,"Comedy, Romance"
37,"Cry, the Beloved Country",Drama
38,Richard III,"Drama, War"
39,Dead Presidents,"Action, Crime, Drama"
40,Restoration,Drama
41,Mortal Kombat,"Action, Adventure, Fantasy"
42,To Die For,"Comedy, Drama, Thriller"
43,How to Make an American Quilt,"Drama, Romance"
44,Seven (a.k.a. Se7en),"Mystery, Thriller"
45,Pocahontas,"Animation, Children, Drama, Musical, Romance"
46,When Night Is Falling,"Drama, Romance"
47,"Usual Suspects, The","Crime, Mystery, Thriller"
48,Mighty Aphrodite,"Comedy, Drama, Romance"
49,Lamerica,"Adventure, Drama"
